# SRIM table transcribed from supplied image
# Stopping units: keV/(mg/cm2)
# All range/straggling columns converted to mm
# Energy_MeV  dEdx_Elec  dEdx_Nuclear  ProjectedRange_mm  LongitudinalStraggling_mm  LateralStraggling_mm
2.00  9.631E+01  5.763E-02  6.43  0.28753  0.39093
2.25  8.904E+01  5.208E-02  7.77  0.35958  0.46477
2.50  8.294E+01  4.756E-02  9.21  0.42928  0.54347
2.75  7.772E+01  4.380E-02  10.76  0.49822  0.62691
3.00  7.320E+01  4.062E-02  12.40  0.56721  0.71496
3.25  6.924E+01  3.790E-02  14.15  0.63670  0.80753
3.50  6.574E+01  3.553E-02  15.99  0.70698  0.90454
3.75  6.262E+01  3.346E-02  17.92  0.77821  1.01
4.00  5.982E+01  3.163E-02  19.95  0.85052  1.11
4.50  5.499E+01  2.854E-02  24.29  1.09  1.34
5.00  5.096E+01  2.603E-02  28.98  1.31  1.58
5.50  4.754E+01  2.395E-02  34.03  1.54  1.83
6.00  4.460E+01  2.219E-02  39.43  1.76  2.10
6.50  4.205E+01  2.068E-02  45.17  1.99  2.39
7.00  3.980E+01  1.937E-02  51.24  2.22  2.70
8.00  3.603E+01  1.722E-02  64.37  2.99  3.35
9.00  3.297E+01  1.552E-02  78.81  3.71  4.05
10.00  3.044E+01  1.414E-02  94.51  4.43  4.82
